dec 21st 2012 will be know not as the end of the world but the Babi Boom !  neutral 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 
Tomorrow we will be proud to play at the Remembr Servic at South Hetton church  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Impuls bought Resid Evil Oper Raccoon Citi Probabl wo n't play it till tomorrow though Have so much edit to do with 06  negative 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 
Impul bought Resid Evil Oper Raccoon Citi Probabl wo n't play it till tomorrow though Have so much edit to do with 06  negative 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 
Got my ||T|| ticket in the mail today ! ! So excit to see Mario Lemieux drop the 1st puck ! ||U||  positive 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 
Just arriv in madrid from Moscow Tomorrow go to HVar Croatia  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Sopho is the Lamest Viru Ever.. Start Septemb 19 Sopho success becam the lamest. ||U|| | InfoSecIsland  negative 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Ok i also wan 2 watch e 9 pm show.  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
at CherylCol 's on MTV Hit in 30 minut take us behind the scene of her Under The Sun video  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Jose Iglesia / Igleisa start at shortstop Wednesday night for the second ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Wa n't there an Intern Women 's day on the 8th of March too ?  neutral 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 
Game 3 of San Beda versu Letran will be on Thursday at the Smart Araneta Coliseum  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
We 're partner with our friend at Ten Thousand Villag in Green Hill on Sunday June 17th Stop by anytime. ||U||  neutral 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
See you at the Houston Improv thi Tuesday 9/25 Nation Voter Registr Day for a FREE SHOW Vote for. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 1 1 0 1 
Good luck to ||T|| tomorrow at the MAC Championship ! ! Do your thing buddi ! !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Where are you ? still on bed blur-blur  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
Where are you ? still on bed blur-blur  positive 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
The stori featur the same main charact but do not depend on each other otherwis  neutral 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 
Whoa Is Taylor Kitsch serious go to be at the chariti game tomorrow ?  neutral 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 
Whoa Is Taylor Kitsch seriou go to be at the chariti game tomorrow ?  positive 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
Due to the hurricane game 1 of the the Eastern conf semi-fin ha been move to RFK on Nov 3 The 2nd leg will be in NY on Nov 7  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Just pack for a weekend in Liverpool and the small matter of a marathon on Sunday First up though...Blackpool Illumin !  neutral 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Your plan of attend the Great Yorkshir Show may have been wash out becaus of the weather so how about. ||U||  negative 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Your plan of attend the Great Yorkshir Show may have been wash out becau of the weather so how about | | U | |  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
in US up 10 % betw Jan'11 &amp Jun'12 up .1 % in Calif say ||T|| Sound right to you ? ||U||  neutral 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
By the end of today I will have work 14hrs done my workout and attend part of Hot Jam Hit the ground run thi Monday  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
Check out thi week the ||T|| Scoop column look back on Sat Night win over the Thunder ! ||U||  neutral 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
just chked my email onli. haha.  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Mark Cuban Appl TV Is a Pipe Dream And whi the HDNet founder think that may be a good thing. ||U|| ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Three day weekend a head Tonight Grand Bend forracing Saturday Grand Bend with the inlaw more race Sunday first game for us  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Have you been inspir by Ironman Wale ? Whi not give triathlon a go by take part in the Fishguard Go Tri on Sunday ||U||  positive 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 
I am get a DS for Christma  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
I 've found lyric of Kiryu Kaika ! ! ! YE ! ! ! but I 've sat down to listen a song and write it already..  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
I 've found lyric of Kiryu Kaika ! ! ! YE ! ! ! but I 've sat down to listen a song and write it already  negative 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Jonathan Kozol is the lead author on educ advocaci and social equal He will be on campu Wednesday,. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| ||T|| That 's the 1st.2nd Nadia &amp Mysa about Mysa break dgn Adam 3rd thi bullshit thingi -.  negative 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Bersani support stabil agreement to secur govern AGI Rome Octob 24 Tomorrow the agreement on t. ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Thank to all those who join UYSA and the Univers of Utah in celebr Youth Soccer Month last Saturday,. ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Nikki Beach Miami is excit to welcom back our good friend Patrick M thi Sunday along with Nikki Beach 's ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
no..sunday is famili day for me...haveta spend time With parents.  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| Well it wa either that or watch you play Raccoon City so I think I may have won ?  positive 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 
| | T | | Well it wa either that or watch you play Raccoon Citi so I think I may have won ?  positive 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 
THI SUNDAY Join us at Ten Thousand Villag to get holiday gift 15 % of the proce donat to HIA Pennsylvania ! ||U||  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Happi 22nd birthday. May all your wish come true \ u002c stay pretti all time \ u002c success in your career \ u002c romanc fall on u. Stay happi and enjoy your birthday.  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| go to stay over in Leed for Wednesday though to get my fix of the etern citi  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
U can still call my hp \ u002c on autoroam My Aust Add Unilodg Sydney Cnr Bay St Broadway \ u002c Broadway NSW 200700 Tel 61 2 93385000  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Everi freak time I take a break and come back to skate I push too hard and my tailbon end up out of place  negative 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Do you know what is happen tomorrow at Yerba Buena Center in San Fransisco ?  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
Do you have your HST made for the Diamond Chevron QAL ? Tomorrow the assembl direct go up ! ! ||U||  neutral 1 0 1 1 0 0 0 0 1 0 1 1 0 0 1 
Watch the The Morn Blend tomorrow as Ian Bennett will be strut hi stuff in their fashion show Tune into TJM4 at 9 am  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Day 1 at the SoCal Colleg Fair at Pomona Fairplex--1st person to get to our booth &amp say your stori matter win someth special !  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Ik heb een ||T|| al 'leuk gemarkeerd ||U|| Appl Special Event March 7 2012 iPad 3 the new ipad Ful  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
La Liga Beti march on Malaga held to draw Real Beti move up to fourth in the tabl after S. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
De La Soul 's First Serv project with Live Band debut thi Thu 18th in Meet Hous Square ONRA support on MPC http://t.co/DN2SfycQ!!!  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
But me &amp Derrick go to the Fair tomorrow  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| I just googl it haha Catelynn and Tyler met first and butch and April have been marri but they got divorc  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
| | T | | I just googl it haha Catelynn and Tyler met first and butch and April have been marri but they got divorc  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Had a few email about my storck adrenalin The chap clearli new fuck all about carbon and bike in general.I may have to brake it for spare  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Haha. Yup hope we will lose a few kg by mon after hip hop can go orchard and weigh again  positive 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Haha Yup hope we will lose a few kg by mon after hip hop can go orchard and weigh again  positive 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
9th day of continu shell of Baba Amr ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| ...i hope they 've left school by now ! ! ...I 'll bring the photo tomorrow night from bilbao..D Der Der Der.i love you babi !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
| | T | | ...i hope they 've left school by now ! ! ...I 'll bring the photo tomorrow night from bilbao..D Der Der Der.i love you babi !  negative 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
MT ||T|| Council of Can chair Maud Barlow hit road to speak on protect the Great Lake 8-citi tour will see her in May 16  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| ||T|| Is Wednesday normal Cascad help day ? I might want to make a trip at some point befor Januari 21st  neutral 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 
Seven Penni Stock to Watch with Heavi Volum for March 14 IVAN share have trade as high as $ 3.15 over the pa. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Even if you did have to icon Laura 's ugli bang haha  negative 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
like 15 lor realli !  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Pink Diamond Host Sabrina 25th Birthday Bash at Club Crucial Juli 2nd be there to wit a movi in the make or hear about it..  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
When we confirm when we meet then we arrang time again  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Anybodi go to that 4th of Juli pool parti in Knollwood ?  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
It 's our undergradu open day tomorrow ! Come and see everyth DMU and the Faculti of Tech have to offer More info ||U||  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
How did Marco Rubio Eva Longoria and Marc Anthoni bring star power to the elect ? NBC Latino break it down ||U||  neutral 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
Ya. Morn. My sister said it \ u2019 on e mountain \ u002c haha \ u002c have to check map liao.  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| I 'm sit here with my belt in jean short watch Cena win hi first titl I think we tie for 1st my friend e1  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Idk how Instant Messag gone make it to Total Sport tomorrow for Select Sunday  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
That ha got to be one of the cruelest thing that a straight person can do to someon gay \ /bi  negative 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
At first I thought it said Fucker and I wa like what a weird way to propos  negative 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Did they play ` ` the bucket ? ? ? ?  neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
I actual think thing will be fine now ! ! !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
I actual think thing will be fine now ! ! !  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
Team CK versu Demolit on Novemb 17th at the American Legion Post 80 Main St in Binghamton NY Get your ticket now ! ||U||  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
||T|| I laugh a little but not share them out with anyon Will the weather be good tomorrow for Bori Bike ?  positive 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 
||T|| My daughter ||T|| will be 14 on Decemb 17th ! We are go to see Buddi at The Kirbi Center in WB on Decemb 14th So excit !  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
||T|| right you are they could end up pick sidney crosbi 1st rou. wait a second that alreadi happen  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Last night wa dinner at Bucci tonight is sister birthday dinner in Sunnybank tomorrow is dinner at The Red Hen  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Last night wa dinner at Bucci tonight is sister birthday dinner in Sunnybank tomorrow is dinner at The Red Hen  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Last night wa dinner at Bucci tonight is sister birthday dinner in Sunnybank tomorrow is dinner at The Red Hen  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| ~ ~ t you cant just tweet someon GUESS WHO IMMA SEE THURSDAY and NIT TWEET THEM BACK ! ! &gt .&lt laugh out loud  negative 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Thi match mark the 13th year of Undertak 's WWE career  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
# tunewiki How to See the Sun Rise by Ben Solle ||U||  neutral 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 
Havent yet Think ard 8 plu and eat until 10 plu lah Is it conveni if i come ard 10plu ?  negative 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
I am so proud of her that she is start to actual write it !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
Morn ! ! ! ! Soundset wa popin and hot as a titi but time to waken bake easi the sun burn haaa  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Instant Messag on myspac ill tri and find you and add you e1  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
LLLINKKK LLLINKKK i have not slept veri much thi week  negative 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 
LLLINKKK LLLINKKK i have not slept veri much thi week  neutral 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 
CaseCrown Axi Flip Case Black for iPad 4th Gener with Retina Display iPad 3 &amp iPad 2 Built-in magn. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Oh god I can not imagin what you must be go through right now  negative 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 
At Shaker practic as they prepar for Super Bowl matchup with Shen on Friday ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
At Shaker practic as they prepar for Super Bowl matchup with Shen on Friday | | U | |  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Teddi Bear Toss a Brad Mill goal and more fun from Maverik Center in a tough loss Friday See you tomorrow at 7 ! ||U||  positive 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 
hi \ u002c you watch infern affair 3 \ u002c want to watch tog next wk ? can ask other also  neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
||T|| I teach my class to count in penni at first I may be part of the problem  negative 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
| | T | | I teach my class to count in penni at first I may be part of the problem  positive 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
| | T | | I teach my class to count in penni at first I may be part of the problem  positive 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
||T|| a close 2nd is play noth but RSE on my drive to Soundset from California Then noth but RSE on the way back  negative 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Go to sleep early so I 'm readi for tomorrow with The Cab Evermor and MAROON 5 e1  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Traci McGradi sign with a team in China today Clearly that team doe not have aspir of reach the 2nd round  negative 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 
Traci McGradi sign with a team in China today Clearli that team doe not have aspir of reach the 2nd round  neutral 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 
saw your LJ post yay for Aussi e0  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
at ShannonLeto Congrat XOXO Shannon Leto win the Indi categori of the 17th Annual Drummi ! ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 
dear \ u002c do you know what is lviii ? translat to number ?  neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
I WILL COME GET YOU if you want to come visit !  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
I WILL COME GET YOU if you want to come visit !  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
I WILL COME GET YOU if you want to come visit !  negative 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Today at Island Wing Co -Game Day Saturday $ 2 Domest Bottl all Day See it here ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Today at Island Wing Co -Game Day Saturday $ 2 Domest Bottl all Day See it here | | U | |  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
Today at Island Wing Co -Game Day Saturday $ 2 Domest Bottl all Day See it here | | U | |  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
Did you see us in the Gazett on Saturday ? If you miss it here is the electron version ||U||  neutral 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 
If there 's a car on cinder block in your yard you may be a redneck If there 's a dog on top of it you may have Jeff Foxworthi  neutral 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
If there 's a car on cinder block in your yard you may be a redneck If there 's a dog on top of it you may have Jeff Foxworthi  neutral 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
If there 's a car on cinder block in your yard you may be a redneck If there 's a dog on top of it you may have Jeff Foxworthi  positive 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
If there 's a car on cinder block in your yard you may be a redneck If there 's a dog on top of it you may have Jeff Foxworthi  neutral 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Dr Joe will kick off hi Australian Tour with a lectur at The Consciou Club in Sydney Australia Thursday May 17 ! http://t.co/uaqUTMgO  neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Have a love Sunday and keep it MYSA  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
i will give you a call ! ok ? e1  neutral 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 
i will give you a call ! okay ? e1  positive 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 
Pharrel may have had one of the realest Gangsta Grillz mixtape ever  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
And also read ` ` The Hobbit at interv  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| Will there ever be a season 2 of Terra Nova ? ? Just finish the 1st season on netflix and LOVE IT ! ! I want more e-1  positive 1 0 1 1 0 0 0 0 1 0 1 1 1 0 1 
just onli for true Liverpudlian download thi song on iTun IDR15.000 keep it on 1st in christma chart ! ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
just onli for true Liverpudlian download thi song on iTun IDR15.000 keep it on 1st in christma chart ! | | U | |  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Sometim I look forward to get wrinkl - if I am lucki enough to live long enough to get them !  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
||T|| Heard the song &amp I think thi album is go to 10000x better than UAN by the way tomorrow Im come to London want to see you !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
| | T | | Heard the song &amp I think thi album is go to 10000x better than UAN by the way tomorrow Im come to London want to see you !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
||T|| i onli sat on a plastic chair when they were give lap danc i never broke it tho Instant Messag tell you i wa straight  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
SAVE THE DATE ! ! Next saturday the 14th of december Circoloco is back at Showcas Pari Live Club with Dan. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 
2013 mark the 100th birthday of the Chelsea Flower Show If you 're head to the UK in May whi not combin a. ||U||  neutral 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 
2013 mark the 100th birthday of the Chelsea Flower Show If you 're head to the UK in May whi not combin a | | U | |  positive 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 
My heart goe out to the both of you  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
My heart goe out to the both of you  negative 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
I think jessi whitney and I are drive up if you want to ride man  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
I think jessi whitney and I are drive up if you want to ride man  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Femal dinner hostess needed 12 nov 3-11pm marina at keppel bay $ 150 Take care of VIP PM/text me if you 're interest ! e1  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 
Femal dinner hostess need 12 nov 3-11pm marina at keppel bay $ 150 Take care of VIP PM/text me if you 're interest ! e1  neutral 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 
TD Bank We welcom you into but pleas do not raze the 1930 bldg on the corner of SW 12th &amp Call Ocho Keep the facad  positive 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 
Have the NY Marathon on Sunday is like have a parad in Raccoon citi right after the T-Viru went airborn  negative 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Have the NY Marathon on Sunday is like have a parad in Raccoon citi right after the T-Viru went airborn  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Have the NY Marathon on Sunday is like have a parad in Raccoon citi right after the T-Viru went airborn  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
An opportun to serv at the Gazett 's Halloween Parad tomorrow night ! Check it out. ||U||  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
A New Work Threshold will be read by the African American Repertori Theatr of Virginia thi friday at the. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
I just finish my work My foot injur just now so pain good night see you  negative 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Live blog Gingrich win South Carolina Newt Gingrich swept to an easi victori Saturday in the South Carolina p. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
hey hotstuff take her to a free clinic  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
hey hotstuff take her to a free clinic  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
hey hotstuff take her to a free clinic  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
hey hotstuff take her to a free clinic  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
I went to a Remembr servic today for the 1st time and can say it wa so touch  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
at Q1047 Would love if you could make an announc about Chri Rene concert ||T|| thi Thursday ! ! Thank ! ! ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Maud Barlow to speak in Toronto on May 15 ! Anyon from ||T|| Toronto go ? http://t.co/ds7YLtc  neutral 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 
Sun got the best of me at Soundset ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| ||T|| hahah wait I realli want to come out for St Patrick day ! Also everyon should come to Boston for Easter/ my 21st !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
I will be stare at it like > \ / And I will be think ?  neutral 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 
Check out what 's happen at the San Diego Counti Fair Del Mar Fairground thi Saturday ! ||U||  neutral 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Check out what 's happen at the San Diego Counti Fair Del Mar Fairground thi Saturday ! | | U | |  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
Check out what 's happen at the San Diego Counti Fair Del Mar Fairground thi Saturday ! | | U | |  negative 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
It made me feel better about the state of my apart  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Transform Prime is be syndic to the CW Network for their Saturday morn cartoon program block Veri interest  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
Transform Prime is be syndic to the CW Network for their Saturday morn cartoon program block Veri interest  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
cant wait to see the iPad HD  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
not sure  negative 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| -&gt RT ||T|| Stay tune for the contest tomorrow and get a chanc to bowl to Rahul Dravid himself !  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
alli simpson born on 24th of april is an Australian actress who love to make peopl laugh ! ||T||  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Daddy. Fetch me togeth w jue. I surf net in sch.  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
Just one of the song to expect dure THE FRAY 's concert in Smart Araneta Coliseum on Novemb 10 Thi is off. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Just one of the song to expect dure THE FRAY 's concert in Smart Araneta Coliseum on Novemb 10 Thi is off | | U | |  negative 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Over the Mon Daili Red Sox Link Bobbi Valentine Clay Buchholz Jose Iglesia Usual a win make eve. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| the Friday we got off of Thanksgiv break  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
